arrival_date_month,mean,count
January,0.22134471718249732,4685
February,0.23212230807167517,6083
March,0.24425747863247863,7488
April,0.30455696202531646,7900
May,0.2926653883029722,8344
June,0.30337802991232593,7756
July,0.31823160410235984,10043
August,0.32218466465041806,11242
September,0.24558515414546542,6682
October,0.23724895246351682,6921
November,0.21154232857430122,4973
December,0.26936619718309857,5112
