market_segment,is_canceled
Aviation,0.19911504424778761
Complementary,0.12283236994219653
Corporate,0.1211904761904762
Direct,0.14745331069609507
Groups,0.2706766917293233
Offline TA/TO,0.14846625766871166
Online TA,0.35384943650224043
Undefined,1.0
